feature,importance
V273,24.20942997932434
V230,24.14487051963806
V259,24.097749948501587
V124,24.091689586639404
id_21,23.955419301986694
V143,23.91705894470215
V94,23.865689516067505
V72,23.82842993736267
V106,23.662700653076172
V160,23.31874990463257
V161,23.10202980041504
V239,22.79560089111328
V178,22.68478012084961
V6,21.98709011077881
V287,21.740600109100342
V95,21.461600065231323
V144,21.42214035987854
V103,20.994549989700317
V79,20.97241973876953
V150,20.31997013092041
V275,20.034630060195923
V256,19.73507046699524
V339,19.659000396728516
id_11,19.370649814605713
V216,18.941199779510498
V23,18.702109813690186
V186,18.327239990234375
V63,18.059589385986328
V93,17.866500854492188
V336,17.854299545288086
V231,16.656839609146118
V228,16.554799795150757
V197,15.685529828071594
V145,15.605329990386963
V302,15.389300346374512
V221,15.316410541534424
V115,15.048159837722778
V138,15.04419994354248
V229,14.836010217666626
V276,14.667439937591553
V98,14.589459896087646
V112,14.319000244140625
V227,13.836219787597656
V168,13.781929969787598
V338,13.692000389099121
V301,13.481930255889893
V9,13.28689980506897
V60,13.250699996948242
V303,13.173299789428711
V234,13.118189930915833
V123,12.87932014465332
V25,12.76341986656189
V191,12.39611005783081
V47,11.845170021057129
V159,11.503360033035278
id_10,10.642539978027344
V250,10.54539966583252
V248,10.541160106658936
id_04,10.387400150299072
V215,10.31016993522644
V125,10.188870191574097
V255,10.020400047302246
V177,9.886329889297485
V146,9.63979983329773
V199,9.446439862251282
V242,9.17490005493164
V42,8.974220037460327
V182,8.610589742660522
V286,8.277440071105957
V196,7.546510219573975
V217,7.304719924926758
V100,6.231290102005005
V92,6.1743998527526855
V101,5.980830192565918
V180,5.946290016174316
V16,5.850599765777588
V14,5.12706995010376
V233,5.013869762420654
V52,4.99330997467041
V141,4.885200023651123
V210,4.828359961509705
V71,4.733860015869141
V236,4.588950157165527
V249,4.579699993133545
V8,4.38532018661499
V59,4.272480010986328
V171,3.870229959487915
V253,3.8652100563049316
V212,3.7854700088500977
V81,3.762769937515259
V333,3.7626700401306152
V262,3.557620048522949
V185,3.48048996925354
V163,3.42930006980896
V304,3.2160000801086426
V151,3.2143800258636475
V190,3.073319911956787
V269,3.0719199180603027
V84,2.9507100582122803
V218,2.8865299224853516
V337,2.4136300086975098
V18,2.380110025405884
V328,0.0
id_26,0.0
id_22,0.0
V142,0.0
V194,0.0
V183,0.0
V175,0.0
V181,0.0
V179,0.0
V192,0.0
V330,0.0
V68,0.0
V65,0.0
V154,0.0
V155,0.0
V157,0.0
V158,0.0
V172,0.0
V174,0.0
V329,0.0
id_24,0.0
V327,0.0
V148,0.0
V57,0.0
V223,0.0
V224,0.0
V153,0.0
V46,0.0
V147,0.0
V241,0.0
V240,0.0
V237,0.0
V247,0.0
V252,0.0
V254,0.0
V89,0.0
V88,0.0
V80,0.0
V122,0.0
V119,0.0
V120,0.0
V121,0.0
V238,0.0
V246,0.0
V244,0.0
V305,0.0
V104,0.0
V28,0.0
V27,0.0
V32,0.0
V297,0.0
V105,0.0
V17,0.0
V117,0.0
V15,0.0
V116,0.0
V111,0.0
V113,0.0
V114,0.0
V107,0.0
V108,0.0
V110,0.0
V118,0.0
V325,0.0
V21,0.0
V22,0.0
V334,0.0
